10.#a	bn:00095898a
10#n	bn:00000008n
11._november#n	bn:00005767n
11._september#n	bn:00000139n
(1221)_amor#n	bn:00003581n
12._februar#n	bn:00033884n
12._oktober#n	bn:00020820n
1,2-propandiol#n	bn:00064742n
14._april#n	bn:00005177n
14._februar#n	bn:00033885n
14._juli#n	bn:00000026n
14._juni#n	bn:00034968n
14._zusatzartikel_zur_verfassung_der_vereinigten_staaten#n	bn:00036109n
15._august#n	bn:00006561n
1,5-diaminopentan#n	bn:00014513n
17._märz#n	bn:00053357n
17._november#n	bn:00000041n
17._september#n	bn:00019287n
1830er#n	bn:00000045n
1860er#n	bn:00000048n
1870er#n	bn:00000049n
1890er#n	bn:00000051n
1900er#n	bn:00000053n
1920er#n	bn:00000054n
1930er#n	bn:00000055n
1940er#n	bn:00000056n
1950er#n	bn:00000057n
1960er#n	bn:00000058n
1970er#n	bn:00000059n
1980er#n	bn:00000060n
1990er#n	bn:00000061n
19._januar#n	bn:00047979n
19._märz#n	bn:00053358n
1._april#n	bn:00002800n
1._august#n	bn:00007154n
1._brief_des_johannes#n	bn:00034771n
1._brief_des_paulus_an_die_korinther#n	bn:00034772n
1._brief_des_paulus_an_die_thessalonicher#n	bn:00034773n
1._brief_des_paulus_an_timotheus#n	bn:00034774n
1._brief_des_petrus#n	bn:00034775n
1._buch_der_makkabäer#n	bn:00000065n
1._buch_mose#n	bn:00012084n
1-cent-münze#n	bn:00017100n
(1)_ceres#n	bn:00017351n
1-dodecanol#n	bn:00000006n
1._januar#n	bn:00047977n
1._juli#n	bn:00028193n
1._mai#n	bn:00034789n
1-naphthol#n	bn:00003034n
1._november#n	bn:00002803n
1._zusatzartikel_zur_verfassung_der_vereinigten_staaten#n	bn:00034750n
(2060)_chiron#n	bn:00018534n
20._januar#n	bn:00046249n
(2106)_hugo#n	bn:00045137n
21._juni#n	bn:00048593n
22._februar#n	bn:00033887n
.22_lfb#n	bn:00000003n
23._juni#n	bn:00048594n
24._juni#n	bn:00048595n
24._mai#n	bn:00021209n
24._oktober#n	bn:00058612n
25._dezember#n	bn:00018836n
25._märz#n	bn:00004380n
29._februar#n	bn:00010723n
29._juni#n	bn:00048596n
29._september#n	bn:00054718n
2._brief_des_johannes#n	bn:00045902n
2._brief_des_paulus_an_die_korinther#n	bn:00045901n
2._brief_des_paulus_an_die_thessalonicher#n	bn:00045904n
2._brief_des_paulus_an_timotheus#n	bn:00045905n
2._brief_des_petrus#n	bn:00045903n
2._buch_der_makkabäer#n	bn:00000097n
2._buch_mose#n	bn:00012080n
2-chlorbenzylidenmalonsäuredinitril#n	bn:00018603n
2d#a	bn:00108654a
2._februar#n	bn:00033886n
2._märz#n	bn:00053359n
2-naphthol#n	bn:00010122n
2._november#n	bn:00002804n
(2)_pallas#n	bn:00060294n
2-propanol#n	bn:00047665n
31._dezember#n	bn:00025686n
(31)_euphrosyne#n	bn:00031872n
3._brief_des_johannes#n	bn:00045906n
3._buch_mose#n	bn:00012098n
3d#a	bn:00095976a
3d-modell#n	bn:00055452n
3._juni#n	bn:00025403n
4._buch_mose#n	bn:00012104n
4-hydroxybutansäure#n	bn:00037226n
4-(indol-3-yl)buttersäure#n	bn:00046529n
4._juli#n	bn:00036120n
(4)_vesta#n	bn:00079867n
(50000)_quaoar#n	bn:00065562n
50-cent-münze#n	bn:00034367n
50-cent-stück#n	bn:00034367n
5._buch_mose#n	bn:00012077n
5-fluoruracil#n	bn:00035465n
5#n	bn:00000119n
5._november#n	bn:00058206n
5._zusatzartikel_zur_verfassung_der_vereinigten_staaten#n	bn:00036383n
6._januar#n	bn:00031204n
6#n	bn:00000125n
7#n	bn:00000129n
8-ball#n	bn:00029983n
8._dezember#n	bn:00025687n
8#n	bn:00000133n
(90377)_sedna#n	bn:00070245n
9.#a	bn:00096104a
9#n	bn:00000138n
aachen#n	bn:00000174n
aalartige#n	bn:00029859n
aalborg#n	bn:00000176n
aale#n	bn:00004182n
aalmolche#n	bn:00003655n
aalmutter#n	bn:00080162n	bn:00029865n
aalmuttern#n	bn:00029865n
aal#n	bn:00029859n
aa_machen#v	bn:00084350v
aamon#n	bn:00003325n
aa#n	bn:00011778n	bn:00023556n	bn:00011625n
aare#n	bn:00000180n
aarhus#n	bn:00000183n
aaron_burr#n	bn:00000187n
aaron_copland#n	bn:00000188n
aaron#n	bn:00000185n
aasblume#n	bn:00016265n
aasfresser#n	bn:00069545n
aas#n	bn:00016264n
ab0-system#n	bn:00000353n
abacá#n	bn:00000201n
abaccá#n	bn:00000200n
abakus#n	bn:00000203n	bn:00000202n
abalone#n	bn:00000205n
abampere#n	bn:00000206n
abändern#v	bn:00082553v
abasie#n	bn:00000219n
abaya#n	bn:00000228n
abbaggern#n	bn:00032111n
abbeißen#v	bn:00083515v
abbeizmittel#n	bn:00074720n
abberufung#n	bn:00067566n
abbiegen#v	bn:00086173v	bn:00095233v
abbild#n	bn:00045970n	bn:00045772n	bn:00060201n
abbildung#n	bn:00045772n	bn:00045963n	bn:00028639n
abbildungsfehler#n	bn:00000291n
abblendlicht#n	bn:00043319n	bn:00012719n
abbott_lawrence_lowell#n	bn:00000238n
abbrand#n	bn:00014042n
abbrechen#v	bn:00095378v	bn:00082149v
abbremsen#n	bn:00012710n
abbremsen#v	bn:00086364v
abbrennstumpfschweißverfahren#n	bn:00035060n
abbreviatur#n	bn:00000239n
abc-buch#n	bn:00064391n
abcbuch#n	bn:00064391n
abchasen#n	bn:00000325n
abchasien#n	bn:00000327n
abchasisch#n	bn:00000326n
abdankung#n	bn:00000246n
abdecken#v	bn:00085497v
abdecker#n	bn:00049302n
abdeckung#n	bn:00060377n	bn:00023361n
abdikation#n	bn:00000246n
abdomen#n	bn:00000249n
abdominal#a	bn:00096127a
abdominalgravidität#n	bn:00000257n
abdominoplastik#n	bn:00000260n
abduktor#n	bn:00000267n
abecedarius#n	bn:00000270n
abelien#n	bn:00000276n
abelmoschus#n	bn:00000280n
abelsche_gruppe#n	bn:00000277n
abel_tasman#n	bn:00000273n
abenaki#n	bn:00000281n
abendbrot#n	bn:00075315n	bn:00001877n	bn:00027206n
abenddämmerung#n	bn:00023747n
abendessen#n	bn:00075315n	bn:00001877n	bn:00027206n
abendgarderobe#n	bn:00027210n
abendglocke#n	bn:00024478n
abendkleid#n	bn:00032007n
abendländischer_lebensbaum#n	bn:00003349n
abendmahl_jesu#n	bn:00050105n
abendmahlstisch#n	bn:00003117n
abend#n	bn:00031998n	bn:00032002n
abendrot#n	bn:00001869n
abendzeitung#n	bn:00057563n
abenteuer#n	bn:00001572n
aberdare#n	bn:00000282n
aberdeen_angus#n	bn:00000287n
aberdeen#n	bn:00000286n
aberglaube#n	bn:00075298n
aber#n	bn:00021883n
aber#r	bn:00114216r
aberration#n	bn:00000291n
abessinierkatze#n	bn:00000537n
abessinisches_gold#n	bn:00012789n
abetalipoproteinämie#n	bn:00000292n
abfahrt#n	bn:00026343n	bn:00028487n
abfallbehälter#n	bn:00006308n	bn:00019188n
abfalleimer#n	bn:00051572n	bn:00006308n
abfallkorb#n	bn:00006308n
abfall#n	bn:00068465n	bn:00080543n	bn:00004977n	bn:00035670n	bn:00051570n
abfallrecycling#n	bn:00066628n
abfallverbrennung#n	bn:00046288n
abfallwirtschaft#n	bn:00037292n
abfangen#v	bn:00089810v
abfliegen#v	bn:00088776v
abfluss#n	bn:00027475n
abfluß#n	bn:00059872n
abflussrohr#n	bn:00072659n
abformen#n	bn:00016565n
abführmittel#n	bn:00004855n
abgang#n	bn:00032242n
abgaskatalysator#n	bn:00016663n
abgaskrümmer#n	bn:00032218n
abgas#n	bn:00032214n
abgedroschen#a	bn:00098013a	bn:00098123a
abgehen#v	bn:00086603v	bn:00088939v
abgeleitete_klasse#n	bn:00043822n
abgenutzt#a	bn:00098013a
abgesandte#n	bn:00026025n
abgesandter#n	bn:00030563n
abgestelltes_fahrzeug#n	bn:00072297n
abgewetzt#a	bn:00111866a
abgottschlange#n	bn:00011633n
abgrabung#n	bn:00032111n
abgrenzung#n	bn:00026115n	bn:00070288n	bn:00012212n
abgrund#n	bn:00017929n	bn:00000534n
abhandlung#n	bn:00078126n
abhängige_und_unabhängige_variable#n	bn:00026354n	bn:00032316n
abhängigkeit#n	bn:00001287n	bn:00026351n
abhängigkeitssyndrom_durch_psychotrope_substanzen#n	bn:00028875n
abhauen#v	bn:00086600v
abheben#n	bn:00024611n
abholzung#n	bn:00025949n
abhörgerät#n	bn:00013699n
abidjan#n	bn:00000303n
abiogenese#n	bn:00000319n
abisolierzange#n	bn:00081396n
abissio#n	bn:00004929n
abkaufen#v	bn:00084334v
abkommen#n	bn:00026488n	bn:00000728n	bn:00047692n
abkömmlinge#n	bn:00026488n	bn:00047692n
abkratzen#v	bn:00084343v
abkühlen#v	bn:00084893v
abkürzung#n	bn:00023994n	bn:00000239n
ablagerung#n	bn:00026375n
ablass#n	bn:00046553n
ablatio_mammae#n	bn:00053712n
ablatio#n	bn:00003676n
ablation#n	bn:00000330n
ablativisch#a	bn:00096145a
ablativ#n	bn:00000332n
ablaufdatum#n	bn:00071001n
ablaufen#v	bn:00087868v
ablaufsteuerung#n	bn:00047734n
ablaut#n	bn:00000334n
ablehnen#v	bn:00092723v	bn:00086983v
ablehnungsgesuch#n	bn:00066625n
ableism#n	bn:00000336n
ableitende_harnwege#n	bn:00005006n
ableiten#v	bn:00086431v
ableitung#n	bn:00026447n	bn:00025801n	bn:00026450n
ablenken#v	bn:00086478v
ablenkung#n	bn:00027784n
ablenkungsmanöver#n	bn:00066671n
ablepharie#n	bn:00000337n
ablichten#v	bn:00091585v
abliefern#v	bn:00086531v
abmachung#n	bn:00002086n
abmagern#v	bn:00090497v
abmahnung#n	bn:00016929n
