0#a	bn:00095886a
0#n	bn:00000004n
1000000000#n	bn:00000014n
1000000#n	bn:00000013n
100000#n	bn:00000012n
10000#n	bn:00000011n
1000#a	bn:00095891a
1000#n	bn:00000010n
100#a	bn:00095890a
100#n	bn:00000009n
10#a	bn:00095888a
10base-f#n	bn:00031705n
10_de_tevet#n	bn:00033748n
10#n	bn:00000008n
11#a	bn:00095899a
11_de_noviembre#n	bn:00005767n
11_de_septiembre#n	bn:00000139n
11#n	bn:00000017n
11-plus#n	bn:00000018n
120#n	bn:00000022n
(1221)_amor#n	bn:00003581n
12#a	bn:00095905a
12_de_febrero#n	bn:00033884n
12_de_octubre#n	bn:00020820n
12#n	bn:00000020n
13#a	bn:00095911a
13#n	bn:00000023n
144#n	bn:00000025n
14#a	bn:00095917a
14_de_abril#n	bn:00005177n
14_de_febrero#n	bn:00033885n
14_de_julio#n	bn:00000026n
14_de_junio#n	bn:00034968n
14#n	bn:00000024n
1530s#n	bn:00000028n
15#a	bn:00095923a
15_de_agosto#n	bn:00006561n
15#n	bn:00000027n
16#a	bn:00095929a
16_factores_de_personalidad#n	bn:00000033n
16#n	bn:00000032n
1728#n	bn:00000035n
1750s#n	bn:00000036n
1760s#n	bn:00000037n
1770s#n	bn:00000038n
1780s#n	bn:00000039n
1790s#n	bn:00000040n
17#a	bn:00095935a
17-acetato_de_medroxiprogesterona#n	bn:00054169n
17_de_marzo#n	bn:00053357n
17_de_septiembre#n	bn:00019287n
17#n	bn:00000034n
1820s#n	bn:00000044n
1830s#n	bn:00000045n
1860s#n	bn:00000048n
1870s#n	bn:00000049n
1880s#n	bn:00000050n
1890s#n	bn:00000051n
18#a	bn:00095941a
18#n	bn:00000042n
1900s#n	bn:00000053n
1920s#n	bn:00000054n
1930s#n	bn:00000055n
1940s#n	bn:00000056n
1950s#n	bn:00000057n
1960s#n	bn:00000058n
1970s#n	bn:00000059n
1980s#n	bn:00000060n
1990s#n	bn:00000061n
19#a	bn:00095945a
19_de_enero#n	bn:00047979n
19_de_marzo#n	bn:00053358n
19#n	bn:00000052n
19-noretisterona#n	bn:00058007n
1#a	bn:00095887a
1_de_agosto#n	bn:00007154n
1_de_enero#n	bn:00047978n	bn:00047977n	bn:00019203n
1_de_julio#n	bn:00028193n
1_de_mayo#n	bn:00034789n
1_de_noviembre#n	bn:00002803n
1-dodecanol#n	bn:00000006n
1#n	bn:00000005n
20/20#n	bn:00000080n
(2060)_chiron#n	bn:00018534n
20#a	bn:00095952a
20_de_enero#n	bn:00046249n
20#n	bn:00000079n
(2106)_hugo#n	bn:00045137n
21#a	bn:00095956a
21_de_junio#n	bn:00048593n
21#n	bn:00000081n
22#a	bn:00095958a
22_de_febrero#n	bn:00033887n
.22_long_rifle#n	bn:00000003n
22#n	bn:00000082n	bn:00000003n
23#a	bn:00095960a
23_de_junio#n	bn:00048594n
23#n	bn:00000084n
24#a	bn:00095962a
24_de_junio#n	bn:00048595n
24_de_mayo#n	bn:00021209n
24_de_octubre#n	bn:00058612n
24#n	bn:00000085n
25#a	bn:00095964a
25_de_diciembre#n	bn:00018836n
25_de_marzo#n	bn:00004380n
25#n	bn:00000089n
26#a	bn:00095966a
26#n	bn:00000090n
27#a	bn:00095968a
27#n	bn:00000091n
28#a	bn:00095970a
28#n	bn:00000092n
29#a	bn:00095972a
29_de_febrero#n	bn:00010723n
29_de_junio#n	bn:00048596n
29_de_septiembre#n	bn:00054718n
29#n	bn:00000093n
2#a	bn:00095950a
2_de_febrero#n	bn:00033886n	bn:00015215n
2_de_marzo#n	bn:00053359n
2_de_noviembre#n	bn:00002804n
2#n	bn:00000075n
2-naftol#n	bn:00010122n
(2)_palas#n	bn:00060294n
2-propanol#n	bn:00047665n
2_samuel#n	bn:00000098n
30#a	bn:00095978a
30#n	bn:00000104n
31_de_diciembre#n	bn:00025686n
(31)_euphrosyne#n	bn:00031872n
3#a	bn:00095975a
3d#a	bn:00095976a
3_de_junio#n	bn:00025403n
3-d#n	bn:00000101n
3d_radar#n	bn:00000108n
3#n	bn:00000100n
40#a	bn:00096004a
40#n	bn:00000113n
4#a	bn:00096001a
4_de_julio#n	bn:00036120n
4#n	bn:00000111n
4to#n	bn:00000116n
(4)_vesta#n	bn:00079867n
4_vesta#n	bn:00079867n
4wd#n	bn:00000117n
(50000)_quaoar#n	bn:00065562n
500#a	bn:00096030a
500#n	bn:00000124n
50#a	bn:00096029a
50#n	bn:00000123n
5#a	bn:00096027a
5_de_noviembre#n	bn:00058206n
5-fluorouracilo#n	bn:00035465n
5-hidroxitriptamina#n	bn:00000122n
5#n	bn:00000119n
60#a	bn:00096046a
60_minutos#n	bn:00000127n
60#n	bn:00000126n
69#n	bn:00071886n
6#a	bn:00096044a
6ª#a	bn:00096059a
6_de_agosto#n	bn:00007155n
6_de_enero#n	bn:00031204n
6#n	bn:00000125n
6º#a	bn:00096059a
70#a	bn:00096062a
